"default","n_collect","credit_ratio","interest","initial_list_status","recover","coll_fee","out_prncp","total_cc","term","fees_rec","total_acc","employment","amount","monthly_payment","funded","status","v1","int_rec","reason","last_payment","pymnt_rec","quality","out_prncp_inv","violations","del","inc","prin_rec","credit_bal","ncc","req"
1,0,90.6,15.99,"b",0,0,14330.7,3465.56," 5 yrs",0,30,"10+",16000,389.01,16000,"checked",20.48,1796.26,"debt",389.01,3449.32,"q4",14263.52,0,1,65000,1669.3,10776,12,1
0,0,63.9,6.62,"a",0,0,5377.88,9886.78," 3 yrs",0,28,"6",14000,429.86,14000,"checked",24.25,1264.66,"debt",429.86,9886.78,"q1",5377.88,0,0,78000,8622.12,50404,10,2
0,0,95.4,13.98,"a",0,0,5316.42,4388.2," 3 yrs",0,10,"1",8575,292.99,8575,"checked",16.8,1129.62,"cc",292.99,4388.2,"q3",5316.42,0,0,24000,3258.58,12400,7,0
1,0,32.8,19.99,"a",0,0,33588.99,3669.53," 5 yrs",0,22,"10+",35000,927.1,35000,"checked",12.53,2258.52,"debt",927.1,3661.67,"q5",33517.02,0,1,89032,1411.01,8073,11,0
0,0,81.5,12.69,"b",0,0,19419.29,3658.93," 3 yrs",0,29,"10+",22000,737.99,22000,"checked",21.03,1078.22,"cc",737.99,3658.93,"q3",19419.29,0,0,55000,2580.71,18021,8,0
0,0,45.3,6.89,"b",0,0,18000,0," 3 yrs",0,22,"10+",18000,554.89,18000,"unchecked",5.86,0,"debt",0,0,"q1",18000,0,0,150000,0,17111,13,0
0,0,22.4,6.39,"b",0,0,7676.28,2746.81," 3 yrs",0,26,"2",10000,305.99,10000,"unchecked",11.42,423.09,"cc",305.99,2746.81,"q1",7676.28,0,1,85000,2323.72,10609,19,0
0,0,66.9,6.68,"a",0,0,3505.16,1651.94," 3 yrs",0,22,"7",4900,150.59,4900,"partial",20.86,257.1,"debt",150.59,1651.94,"q1",3505.16,0,0,115000,1394.84,12708,14,0
1,0,60.1,17.57,"a",0,0,2550,0," 3 yrs",0,28,"6",2550,91.64,2550,"partial",20.87,0,"debt",0,0,"q4",2550,0,0,42000,0,3484,12,1
0,0,54.3,13.67,"b",0,0,27366.47,899.34," 3 yrs",0,12,"8",28000,952.5,28000,"partial",24.16,265.81,"debt",952.5,899.34,"q3",27366.47,1,0,96000,633.53,14117,8,0
0,0,22.2,8.9,"b",0,0,0,8114.61," 3 yrs",0,26,"7",7500,238.15,7500,"unchecked",4.82,614.61,"debt",5256.81,8114.61,"q1",0,0,0,60000,7500,4824,8,1
0,0,24,10.99,"a",0,0,11013.18,2747.56," 5 yrs",0,25,"5",12675,275.53,12675,"unchecked",15.4,1085.74,"cc",275.53,2747.56,"q2",11013.18,0,3,52740,1661.82,13834,14,0
0,0,32.3,8.18,"a",0,0,2985.12,1254.98," 3 yrs",0,29,"< 1",4000,125.68,4000,"unchecked",20.66,240.1,"cc",125.68,1254.98,"q2",2985.12,1,0,55000,1014.88,3913,9,0
1,1,50.3,8.19,"a",0,0,3358.4,1410," 3 yrs",0,16,"7",4500,141.41,4500,"unchecked",18.46,268.4,"debt",141.41,1410,"q1",3358.4,0,1,80000,1141.6,5386,9,0
0,0,86.1,15.59,"b",0,0,1576.78,922.21," 3 yrs",0,42,"10+",2200,76.91,2200,"unchecked",19.88,298.99,"debt",76.91,922.21,"q4",1576.78,0,4,94000,623.22,11446,9,1
1,0,74.3,12.12,"a",0,0,0,11683.04," 3 yrs",0,13,"5",19500,648.8,19500,"checked",7.22,2804.28,"debt",648.8,11683.04,"q2",0,0,0,60000,8878.76,18867,9,0
1,0,8.2,6.62,"a",0,0,0,3497.79," 3 yrs",0,26,"4",6000,184.23,6000,"partial",13.18,481.32,"debt",184.23,3497.79,"q1",0,0,0,47000,3016.47,3362,8,2
0,0,78.4,12.69,"b",0,0,4046.42,1338.32," 3 yrs",0,12,"4",5000,167.73,5000,"unchecked",4.29,384.74,"debt",167.73,1338.32,"q3",4046.42,0,0,33000,953.58,4390,4,0
0,0,48.3,16.78,"b",0,0,2354.27,10307.76," 3 yrs",0,25,"NA",10000,355.44,10000,"partial",12.67,2662.03,"boat",355.44,10307.76,"q3",2354.27,1,0,51158,7645.73,3239,9,2
0,0,58,19.19,"b",0,0,18744.27,3104.14," 5 yrs",0,47,"10+",20000,520.91,20000,"partial",19.12,1848.41,"cc",520.91,3104.14,"q5",18744.27,0,0,75000,1255.73,20237,21,0
0,0,65.7,13.99,"b",0,0,18968.93,3940.88," 5 yrs",0,23,"8",21000,488.53,21000,"checked",27.27,1909.81,"debt",488.53,3940.88,"q3",18968.93,0,0,72000,2031.07,8478,9,0
0,0,80.7,21.49,"a",0,0,16924.13,27875.39," 5 yrs",0,30,"10+",30000,819.9,30000,"checked",26.26,14799.52,"debt",819.9,27875.39,"q5",16924.13,0,1,77700,13075.87,30515,15,0
0,0,36.9,9.67,"a",0,0,0,6795.17058175," 3 yrs",0,37,"10+",6500,208.74,6500,"unchecked",5.88,295.17,"cc",5751.47,6795.17,"q2",0,1,1,37169,6500,3727,10,2
0,0,77,13.65,"b",0,0,5181.18,7992.64," 3 yrs",18.87,7,"1",11100,377.49,11100,"unchecked",17.28,2054.95,"cc",377.49,7992.64,"q3",5181.18,0,0,40000,5918.82,3445,6,1
0,0,37.8,14.33,"a",0,0,0,30705.5806582," 5 yrs",0,16,"< 1",25000,586,25000,"checked",22.45,5705.58,"debt",18404.97,30705.58,"q3",0,0,0,62000,25000,6910,13,0
0,0,66.8,19.05,"a",0,0,0,46207.7300489," 5 yrs",0,28,"5",33000,856.95,33000,"checked",13.28,13207.73,"debt",21356.18,46207.73,"q4",0,0,1,80000,33000,28598,8,0
1,1,78.9,18.99,"b",0,0,0,3092.49," 3 yrs",0,10,"3",9375,343.61,9375,"checked",14.99,1236.24,"business",687.22,3092.49,"q5",0,0,1,150000,1856.25,3156,6,0
0,0,67.8,7.89,"a",0,0,22745.08,4055.75," 3 yrs",0,75,"10+",26000,813.43,26000,"partial",20.78,800.83,"debt",813.43,4055.75,"q1",22745.08,0,1,125000,3254.92,26499,11,0
0,0,32.8,9.67,"a",0,0,0,11130.19," 3 yrs",0,31,"10+",10000,321.13,10000,"checked",21.69,1130.19,"debt",5992.11,11130.19,"q2",0,0,0,65000,10000,3047,11,1
1,0,27.9,17.76,"a",0,0,0,4025.14," 5 yrs",0,14,"7",10625,268.42,10625,"checked",24.98,2173.74,"debt",268.42,4025.14,"q4",0,0,0,32000,1851.4,12045,14,1
1,0,42.7,16.29,"b",2404.22,432.759600004,0,15895.62," 5 yrs",0,23,"3",20425,499.85,20425,"checked",27.89,6292.98,"debt",499.85,15876.18,"q3",0,0,0,46600,7198.42,37525,9,2
0,1,45.7,11.99,"b",0,0,0,19221.68," 3 yrs",0,13,"1",17000,564.57,17000,"checked",7.98,2221.68,"cc",10753.13,19221.68,"q2",0,0,0,85000,17000,29107,6,1
0,0,52.9,20.99,"b",0,0,24277.99,4160.95," 5 yrs",0,20,"2",25825,698.51,25825,"partial",35.58,2613.94,"debt",698.51,4160.95,"q5",24277.99,1,0,74300,1547.01,7193,15,0
1,0,98.3,20.99,"b",4312.77,776.298599993,0,8563.98," 5 yrs",33.71,29,"10+",24925,674.17,24925,"checked",37.39,2984.16,"debt",700,8563.98,"q5",0,0,0,94000,1233.34,39039,13,1
0,0,77.7,8.9,"a",0,0,0,5677.08143166," 3 yrs",0,9,"2",4975,157.98,4975,"unchecked",17.53,702.08,"debt",787.44,5677.08,"q1",0,0,0,18000,4975,8083,7,0
0,0,24.5,7.12,"a",0,0,11634.4,9898.24," 3 yrs",0,25,"5",20000,618.64,20000,"partial",26.13,1532.64,"debt",618.64,9898.24,"q1",11634.4,0,0,54000,8365.6,13713,15,0
0,0,87.4,12.49,"b",0,0,7780.34,9533.06," 3 yrs",0,18,"< 1",15000,501.74,15000,"checked",24,2313.4,"debt",501.74,9533.06,"q2",7780.34,0,0,74000,7219.66,31041,9,2
0,0,34.6,11.14,"a",0,0,0,15243.9099973," 3 yrs",0,26,"6",13000,426.47,13000,"unchecked",10.63,2243.91,"cc",3729.22,15243.91,"q2",0,0,0,50000,13000,19581,16,1
0,0,52,14.64,"b",0,0,0,9249.93," 3 yrs",0,8,"10+",8000,275.92,8000,"unchecked",15.09,1249.93,"debt",5387.05,9249.93,"q3",0,0,0,40000,8000,3691,5,0
1,0,42.9,22.95,"a",2567.3,25.5042999942,0,12125.47," 5 yrs",0,23,"10+",21250,598.44,21250,"checked",23.65,6014.42,"debt",598.44,12082.66,"q6",0,0,1,62000,3543.75,6817,13,2
0,0,36.5,17.57,"a",0,0,4909.66,555.76," 3 yrs",0,12,"< 1",5250,188.67,5250,"checked",23.96,215.42,"debt",188.67,553.11,"q4",4886.28,0,0,27000,340.34,5841,10,1
0,0,69.2,8.18,"b",0,0,10870.45,931.49," 5 yrs",0,29,"2",11500,234.18,11500,"unchecked",29.83,301.94,"cc",234.18,931.49,"q2",10870.45,0,0,48000,629.55,6230,10,1
0,0,43.1,13.33,"a",0,0,13929.58,1677.19," 5 yrs",0,48,"< 1",14825,339.83,14825,"unchecked",26.15,781.77,"debt",339.83,1677.19,"q3",13929.58,0,1,87000,895.42,24694,19,0
0,0,33.7,12.12,"a",0,0,1377.68,11283.15," 3 yrs",0,18,"3",10600,352.68,10600,"unchecked",13.43,2060.83,"debt",352.68,11283.15,"q2",1377.68,1,0,59500,9222.32,8348,12,0
1,0,91.8,14.31,"a",0,0,5341.6,1758.08," 3 yrs",15,15,"7",6400,219.71,6400,"unchecked",23.19,684.68,"debt",450,1758.08,"q3",5341.6,0,0,41000,1058.4,9732,7,0
1,0,26.1,18.55,"a",1888.43,18.7279000075,0,15469.99," 5 yrs",0,20,"10+",19600,503.6,19600,"checked",1.81,6929.59,"debt",503.6,15457.15,"q4",0,0,0,89000,6651.97,5485,8,3
0,0,63.7,11.53,"a",0,0,8065.26,2653.16," 3 yrs",0,27,"10+",10000,329.91,10000,"unchecked",12.01,718.42,"debt",329.91,2653.16,"q2",8065.26,0,0,120000,1934.74,18465,11,1
1,0,53.7,18.55,"b",0,0,19164.25,2528.18," 5 yrs",0,30,"8",20000,513.88,20000,"partial",29.03,1692.43,"debt",513.88,2528.18,"q5",19164.25,0,0,108000,835.75,18681,15,3
0,0,56.1,12.99,"b",0,0,0,38328.26," 3 yrs",0,34,"2",35000,1179.12,35000,"checked",16.2,3328.26,"debt",27920.56,38328.26,"q3",0,0,0,245000,35000,19229,13,0
0,0,21.3,11.49,"b",0,0,8005.06,548.56," 3 yrs",0,16,"1",8400,276.96,8400,"partial",7.6,153.62,"boat",276.96,548.56,"q2",8005.06,1,0,27000,394.94,5203,12,1
0,0,46.2,16.29,"a",0,0,0,19040.290017," 3 yrs",0,17,"10+",15000,529.51,15000,"unchecked",6.92,4040.29,"debt",2095.97,19040.29,"q3",0,0,0,52000,15000,10036,11,0
0,0,82,9.99,"b",0,0,23692.04,2096.49," 5 yrs",0,46,"10+",25000,531.06,25000,"checked",34.2,788.53,"debt",531.06,2096.49,"q2",23692.04,0,1,90000,1307.96,89204,18,0
0,0,98.4,9.17,"b",0,0,11274.16,1587.59," 3 yrs",0,17,"10+",12500,398.49,12500,"partial",20.69,361.75,"cc",398.49,1587.59,"q2",11274.16,0,1,83300,1225.84,45751,7,0
0,0,81,18.99,"a",0,0,3120.7,2932.16," 3 yrs",0,31,"10+",5000,183.26,5000,"partial",38.13,1052.86,"debt",183.26,2932.16,"q5",3120.7,0,0,48500,1879.3,28122,19,0
1,0,66.4,24.5,"b",0,0,11572.28,1378.51," 5 yrs",0,10,"4",12000,348.71,12000,"partial",21.41,950.79,"debt",348.71,1378.51,"q6",11572.28,0,0,43000,427.72,3517,6,0
0,0,32.5,16.99,"b",0,0,15704.45,782.45," 5 yrs",0,38,"10+",16050,398.8,16050,"unchecked",38.26,436.9,"debt",398.8,782.45,"q4",15704.45,0,0,60000,345.55,22167,19,0
0,0,59.5,16.78,"a",0,0,7233.51,8900.75," 5 yrs",0,18,"7",12000,296.82,12000,"checked",18.68,4134.26,"cc",296.82,8900.75,"q3",7233.51,0,0,53000,4766.49,10167,12,1
0,0,67.4,13.11,"a",0,0,0,5513.1," 3 yrs",0,43,"10+",4950,167.05,4950,"unchecked",21.53,563.1,"cc",3681.85,5513.1,"q2",0,0,0,47644,4950,28109,21,1
1,1,48.2,16.29,"b",0,0,0,3812.5," 3 yrs",0,18,"4",10800,381.25,10800,"partial",24,1686.87,"debt",381.25,3812.5,"q4",0,0,0,30000,2125.63,6560,11,1
0,0,18.9,24.5,"b",0,0,10280.07,6603.66," 5 yrs",0,31,"1",12625,366.87,12625,"partial",15.04,4258.73,"debt",366.87,6603.66,"q6",10280.07,0,5,35200,2344.93,8169,17,1
1,0,48.6,12.99,"a",1190.45,11.9045000011,0,3985.69," 3 yrs",0,17,"3",10375,349.53,10375,"partial",21.2,824.69,"cc",349.53,3985.69,"q2",0,0,0,30000,1970.55,7527,10,0
0,0,54.1,16.99,"b",0,0,17435.59,2257.37," 5 yrs",0,33,"10+",18450,458.44,18450,"checked",35.62,1242.96,"debt",458.44,2257.37,"q4",17435.59,1,0,65494,1014.41,35167,15,0
1,0,79.2,10.15,"a",0,0,25407.59,12430.28," 3 yrs",0,22,"1",35000,1131.82,35000,"checked",17.86,2837.87,"cc",1131.82,12430.28,"q2",25407.59,0,0,1e+05,9592.41,40947,11,0
1,0,93.2,18.55,"a",0,0,0,8509.2," 3 yrs",0,9,"4",7200,262.29,7200,"checked",24.34,2225.19,"cc",905.6,8213.81,"q4",0,0,0,35000,6284.01,10994,9,0
0,0,77.4,17.76,"a",0,0,1453.27,3603.07," 3 yrs",0,33,"10+",4000,144.13,4000,"checked",14.55,1056.34,"other",144.13,3603.07,"q4",1453.27,0,0,240000,2546.73,173165,13,2
0,0,34.9,5.32,"b",0,0,11382.27,715.67," 3 yrs",0,15,"10+",12000,361.38,12000,"unchecked",11.33,97.94,"cc",361.38,715.67,"q1",11382.27,9,0,80000,617.73,10570,11,1
0,0,27.8,10.15,"b",0,0,3012.97,3264.08," 3 yrs",15,36,"3",5600,181.1,5600,"unchecked",19.09,662.05,"cc",170.38,3264.08,"q2",3012.97,0,1,55000,2587.03,7221,15,1
1,0,58.4,14.49,"b",0,0,0,1514.4," 3 yrs",0,30,"10+",4400,151.44,4400,"unchecked",23.49,476.12,"other",151.44,1514.4,"q3",0,0,0,56000,1038.28,23299,14,0
0,0,21.8,9.67,"a",0,0,2593.27,3468.2," 3 yrs",0,22,"2",5400,173.41,5400,"partial",26.53,661.47,"cc",173.41,3468.2,"q2",2593.27,0,0,48000,2806.73,12549,11,2
0,0,48.6,16.29,"a",0,0,1031.52,11650.34," 3 yrs",0,29,"10+",10000,353.01,10000,"unchecked",8.49,2681.86,"debt",353.01,11650.34,"q3",1031.52,0,1,40000,8968.48,7436,15,1
1,0,38.1,13.53,"a",0,0,12754.2,9114.18," 5 yrs",0,46,"3",18000,414.46,18000,"partial",27.81,3868.38,"debt",414.46,9063.53,"q2",12683.35,0,0,65000,5245.8,11807,20,0
0,0,68.2,10.99,"a",0,0,22591.23,5620.05," 5 yrs",0,16,"< 1",26000,565.18,26000,"partial",11.79,2211.28,"debt",565.18,5620.05,"q2",22591.23,0,0,57600,3408.77,25977,8,0
0,0,44.6,7.9,"a",0,0,0,12974.2767415," 3 yrs",0,10,"5",12000,375.49,12000,"unchecked",8.18,974.28,"cc",5971.4,12920.22,"q1",0,0,0,72000,12000,7708,5,0
1,0,64.3,20.49,"b",2190.49,21.7789000029,0,6225.19," 5 yrs",0,46,"8",16800,449.7,16800,"partial",17.05,2469.84,"debt",449.7,6225.19,"q5",0,0,2,97000,1564.86,9577,17,3
0,0,50.9,13.67,"a",0,0,7350,0," 3 yrs",0,25,"4",7350,250.03,7350,"partial",35.77,0,"other",0,0,"q3",7350,0,0,50000,0,16551,12,1
1,0,83.8,13.11,"a",0,0,0,8741.28," 3 yrs",0,17,"5",21600,728.94,21600,"partial",18.13,2461.35,"debt",728.94,8640.12,"q2",0,0,0,85000,6279.93,18094,11,0
1,0,25,14.64,"b",0,0,0,2454.6," 5 yrs",0,25,"10+",10400,245.46,10400,"partial",8.1,1201.54,"other",245.46,2454.6,"q3",0,1,1,60000,1253.06,3557,14,0
0,0,84.8,17.86,"a",0,0,23.26,3695.43," 3 yrs",0,9,"1",3600,129.9,3600,"checked",4.96,118.69,"other",129.9,3695.43,"q4",23.26,0,0,23000,3576.74,4580,7,2
0,0,34.2,15.8,"a",0,0,0,13356.35," 5 yrs",0,21,"4",11525,279.05,11525,"checked",15.75,1831.35,"debt",10017.38,13356.35,"q3",0,0,0,33000,11525,9085,15,3
0,0,57.4,19.99,"a",0,0,23524.23,1244.79," 5 yrs",0,15,"10+",24000,635.72,24000,"checked",7.64,769.02,"moving",635.72,1244.79,"q5",23524.23,0,0,115000,475.77,9755,6,0
1,0,92,15.31,"a",0,0,0,8913.28," 3 yrs",0,24,"7",16000,557.08,16000,"checked",26.89,2692.22,"debt",557.08,8913.28,"q3",0,0,1,96000,6221.06,21171,11,3
1,0,25.6,12.49,"b",0,0,5049.31,4495.68," 3 yrs",0,20,"5",8400,280.98,8400,"partial",20.52,1144.99,"cc",280.98,4495.68,"q2",5049.31,0,0,50000,3350.69,8433,17,2
0,0,53.7,13.35,"b",0,0,8083.99,3439.95," 5 yrs",0,42,"10+",10000,229.33,10000,"unchecked",32.6,1523.94,"cc",229.33,3439.95,"q3",8083.99,0,1,49000,1916.01,19762,22,0
0,0,27.9,6.62,"a",0,0,5760.58,20621.77," 3 yrs",0,16,"7",24000,736.89,24000,"partial",14.42,2382.35,"debt",736.89,20578.86,"q1",5748.54,1,0,60000,18239.42,17668,11,0
1,0,100.1,12.99,"b",0,0,0,5619.39," 3 yrs",0,38,"10+",28000,943.3,28000,"partial",8.54,1672.72,"debt",943.3,5619.39,"q3",0,0,1,2e+05,3946.67,37257,13,1
0,0,54.6,12.99,"a",0,0,11491.2,4448.62," 5 yrs",0,21,"10+",14000,318.48,14000,"partial",21.14,1939.82,"cc",318.48,4448.62,"q3",11491.2,0,2,85000,2508.8,16391,12,1
0,0,58.7,12.99,"b",0,0,4659.23,2959.83," 3 yrs",0,22,"6",6825,229.93,6825,"unchecked",24.39,794.06,"debt",229.93,2959.83,"q3",4659.23,0,0,43000,2165.77,29502,17,0
0,0,41,14.65,"b",0,0,2190.36,859.31," 3 yrs",0,18,"NA",2775,95.73,2775,"checked",4.99,274.67,"renovation",95.73,859.31,"q3",2190.36,1,1,32000,584.64,2233,5,1
0,0,51.5,25.89,"b",0,0,2726.61,1041.41," 3 yrs",0,20,"2",3250,130.76,3250,"unchecked",28.49,518.02,"moving",130.76,1041.41,"q7",2726.61,0,0,11000,523.39,4582,13,3
0,0,84.7,13.99,"a",0,0,9316.65,1017.42," 3 yrs",0,7,"7",10000,341.73,10000,"checked",13.54,334.07,"other",341.73,1017.42,"q3",9316.65,2,0,63000,683.35,14908,4,0
0,0,84,8.18,"b",0,0,16221.23,5919.2," 3 yrs",0,42,"9",21000,659.81,21000,"partial",31.6,1140.43,"debt",659.81,5919.2,"q2",16221.23,0,0,79000,4778.77,108836,19,0
1,0,89.9,10.99,"a",0,0,0,6219.5," 3 yrs",0,35,"10+",19000,621.95,19000,"partial",30.31,1550.89,"debt",621.95,6219.5,"q2",0,0,0,140000,4668.61,29675,11,0
0,0,40.4,9.17,"b",0,0,3101.71,3709.94," 3 yrs",0,39,"< 1",6125,195.26,6125,"partial",19.6,686.65,"debt",195.26,3709.94,"q2",3101.71,0,0,24000,3023.29,5534,24,0
1,0,6.1,23.99,"a",0,0,2429.69,526," 3 yrs",0,13,"2",2700,105.92,2700,"unchecked",36.63,255.69,"debt",105.92,526,"q6",2429.69,0,2,21000,270.31,1162,11,0
0,0,39.5,6.03,"b",0,0,0,11336.24," 3 yrs",0,17,"10+",11000,334.8,11000,"unchecked",6.72,336.24,"debt",3324.26,11336.24,"q1",0,0,0,75000,11000,12407,6,0
0,0,42.3,13.18,"b",0,0,35000,0," 5 yrs",0,26,"8",35000,799.59,35000,"partial",9.84,0,"cc",0,0,"q3",35000,0,0,150000,0,26803,12,1
1,0,66.5,23.83,"b",0,0,0,2340.72," 5 yrs",0,18,"2",27300,782.68,27300,"checked",14.67,1606.95,"debt",782.68,2338.59,"q6",0,0,0,62000,733.77,19033,12,1
0,0,52,16.29,"b",0,0,0,6335.32," 3 yrs",0,12,"9",5000,176.51,5000,"unchecked",9.76,1335.32,"cc",863.51,6335.32,"q3",0,0,0,60000,5000,4471,9,1
0,0,98.3,13.98,"b",0,0,2638.79,1910.41," 3 yrs",0,18,"1",4000,136.68,4000,"checked",15.84,549.2,"debt",136.68,1910.41,"q3",2638.79,0,1,40000,1361.21,3048,10,1
0,0,100.4,18.99,"b",0,0,8429.22,3609.94," 5 yrs",0,18,"6",10000,259.36,10000,"checked",26.64,2039.16,"debt",259.36,3609.94,"q5",8429.22,0,0,30000,1570.78,10543,6,0
1,0,47.6,21.49,"b",0,0,1241.4,8856.44," 3 yrs",15,10,"2",7400,280.67,7400,"unchecked",23.43,2682.83,"other",421,8856.44,"q5",1241.4,0,1,27040,6158.61,5046,8,2
0,0,59,13.66,"a",0,0,3909.31,2236.49," 3 yrs",0,8,"3",5500,187.07,5500,"unchecked",13.45,645.8,"debt",187.07,2236.49,"q3",3909.31,0,0,33000,1590.69,5071,6,0
1,0,49.2,18.55,"a",2356.91,424.243799999,0,12110.57," 3 yrs",0,29,"7",19125,696.71,19125,"partial",23.92,3538.25,"debt",696.71,12110.57,"q4",0,0,1,98000,6215.41,11768,14,2
0,0,19.5,14.65,"b",0,0,18831.96,2328.14," 5 yrs",0,23,"2",20000,472.14,20000,"checked",2.09,1160.1,"debt",472.14,2328.14,"q3",18831.96,0,2,149000,1168.04,8984,4,1
0,0,47.2,6.62,"a",0,0,0,16326.72," 3 yrs",0,20,"3",15000,460.56,15000,"partial",21.06,1326.72,"cc",6229.96,16299.51,"q1",0,0,0,68000,15000,11751,10,2
0,0,74.6,8.18,"b",0,0,7002.36,1253.16," 3 yrs",0,13,"8",8000,251.36,8000,"partial",5.42,255.52,"renovation",251.36,1253.16,"q2",7002.36,0,0,84818.75,997.64,15601,6,2
0,0,10.2,10.99,"b",0,0,31362.78,6065.19," 5 yrs",0,38,"10+",35000,760.82,35000,"partial",4.09,2427.97,"cc",760.82,6065.19,"q2",31362.78,0,0,1e+06,3637.22,2210,13,0
0,0,65,6.89,"b",0,0,6740.9,919.1," 3 yrs",0,38,"4",7500,231.21,7500,"partial",27.52,160,"debt",231.21,919.1,"q1",6740.9,0,0,45000,759.1,15927,12,0
0,0,50.3,14.65,"b",0,0,4190.78,1208.83," 3 yrs",0,31,"10+",5000,172.48,5000,"partial",9.23,399.61,"holiday",172.48,1208.83,"q3",4190.78,0,3,135000,809.22,2817,13,0
1,0,44.1,13.98,"a",1594.39,286.990200006,0,4269.79," 3 yrs",0,22,"3",13050,445.9,13050,"checked",15.11,860.04,"renovation",445.9,4269.79,"q3",0,0,0,31300,1815.36,9659,16,0
1,0,90.5,18.55,"b",0,0,14861.96,740.7," 5 yrs",0,44,"8",15175,389.9,15175,"checked",26.12,427.66,"debt",389.9,740.7,"q5",14861.96,2,0,69000,313.04,8234,18,1
0,0,43.2,8.38,"a",0,0,7000,0," 3 yrs",0,15,"NA",7000,220.59,7000,"checked",29.18,0,"debt",0,0,"q2",7000,0,0,29000,0,3716,7,0
1,0,95.8,12.53,"a",0,0,0,7258.14," 3 yrs",29.9967300077,22,"10+",8000,267.73,8000,"checked",16.25,1540.07,"cc",26.34,7204.51,"q3",0,0,0,55000,5688.07,55821,8,0
